vege_name,state,unit,date,max_price,average_price,min_price
China round cabbage,"MELAKA TENGAH, MELAKA",KILOGRAM,9/6/2022,4,4,4
China round cabbage,"SEREMBAN, NEGERI SEMBILAN",KILOGRAM,9/6/2022,0,0,0
China round cabbage,"KUANTAN, PAHANG",KILOGRAM,9/6/2022,4,4,4
China round cabbage,"SEBERANG PERAI TENGAH, PULAU PINANG",KILOGRAM,9/6/2022,5,4.75,4.5
China round cabbage,"KINTA, PERAK",KILOGRAM,9/6/2022,4,3.5,3.5
China round cabbage,"PERLIS, PERLIS",KILOGRAM,9/6/2022,4,4,4
China round cabbage,"GOMBAK, SELANGOR",KILOGRAM,9/6/2022,3.5,3.25,3
China round cabbage,"KLANG, SELANGOR",KILOGRAM,9/6/2022,3.5,3.4,3.3
China round cabbage,"PETALING, SELANGOR",KILOGRAM,9/6/2022,3.6,3.6,3.6
China round cabbage,"KUALA TERENGGANU, TERENGGANU",KILOGRAM,9/6/2022,6,5,5
China round cabbage,"KOTA KINABALU, SABAH",KILOGRAM,9/6/2022,5,5,5
China round cabbage,"KUCHING, SARAWAK",KILOGRAM,9/6/2022,0,0,0
China round cabbage,"SIBU, SARAWAK",KILOGRAM,9/6/2022,5,5,5
China round cabbage,"MIRI, SARAWAK",KILOGRAM,9/6/2022,6,6,6
China round cabbage,"KUALA LUMPUR, W.P. KUALA LUMPUR",KILOGRAM,9/6/2022,4,4,4
China round cabbage,"LABUAN, W.P. LABUAN",KILOGRAM,9/6/2022,0,0,0
Indonesia round cabbage,"JOHOR BAHRU, JOHOR",KILOGRAM,9/6/2022,4,3.75,3.5
Indonesia round cabbage,"KOTA SETAR, KEDAH",KILOGRAM,9/6/2022,4,4,4
Indonesia round cabbage,"KOTA BHARU, KELANTAN",KILOGRAM,9/6/2022,3.5,3,3
Indonesia round cabbage,"MELAKA TENGAH, MELAKA",KILOGRAM,9/6/2022,4,4,4
Indonesia round cabbage,"SEREMBAN, NEGERI SEMBILAN",KILOGRAM,9/6/2022,0,0,0
