vege_name,state,unit,date,max_price,average_price,min_price
India red onion,"PETALING, SELANGOR",KILOGRAM,9/6/2022,4,4,4
India red onion,"KUALA TERENGGANU, TERENGGANU",KILOGRAM,9/6/2022,4,4,4
India red onion,"KOTA KINABALU, SABAH",KILOGRAM,9/6/2022,7,6,6
India red onion,"KUCHING, SARAWAK",KILOGRAM,9/6/2022,5.5,5.5,5.5
India red onion,"SIBU, SARAWAK",KILOGRAM,9/6/2022,4.5,4.5,4.5
India red onion,"MIRI, SARAWAK",KILOGRAM,9/6/2022,5,5,5
India red onion,"KUALA LUMPUR, W.P. KUALA LUMPUR",KILOGRAM,9/6/2022,4,4,4
India red onion,"LABUAN, W.P. LABUAN",KILOGRAM,9/6/2022,6,6,6
green chili,"JOHOR BAHRU, JOHOR",KILOGRAM,9/6/2022,14,13.5,13
green chili,"KOTA SETAR, KEDAH",KILOGRAM,9/6/2022,13,12,12
green chili,"KOTA BHARU, KELANTAN",KILOGRAM,9/6/2022,0,0,0
green chili,"MELAKA TENGAH, MELAKA",KILOGRAM,9/6/2022,12,12,12
green chili,"SEREMBAN, NEGERI SEMBILAN",KILOGRAM,9/6/2022,11,10.5,10
green chili,"KUANTAN, PAHANG",KILOGRAM,9/6/2022,12,11,10
green chili,"SEBERANG PERAI TENGAH, PULAU PINANG",KILOGRAM,9/6/2022,15,14,12
green chili,"KINTA, PERAK",KILOGRAM,9/6/2022,10,10,9
green chili,"PERLIS, PERLIS",KILOGRAM,9/6/2022,0,0,0
green chili,"GOMBAK, SELANGOR",KILOGRAM,9/6/2022,12,11.5,11
green chili,"KLANG, SELANGOR",KILOGRAM,9/6/2022,10,9.5,9
green chili,"PETALING, SELANGOR",KILOGRAM,9/6/2022,10,10,10
green chili,"KUALA TERENGGANU, TERENGGANU",KILOGRAM,9/6/2022,0,0,0
green chili,"KOTA KINABALU, SABAH",KILOGRAM,9/6/2022,18,17,17
green chili,"KUCHING, SARAWAK",KILOGRAM,9/6/2022,0,0,0
green chili,"SIBU, SARAWAK",KILOGRAM,9/6/2022,11,11,11
green chili,"MIRI, SARAWAK",KILOGRAM,9/6/2022,20,20,20
green chili,"KUALA LUMPUR, W.P. KUALA LUMPUR",KILOGRAM,9/6/2022,12,12,12
green chili,"LABUAN, W.P. LABUAN",KILOGRAM,9/6/2022,0,0,0
red chili kulai / kulai hybrid,"JOHOR BAHRU, JOHOR",KILOGRAM,9/6/2022,16,15.5,15
red chili kulai / kulai hybrid,"KOTA SETAR, KEDAH",KILOGRAM,9/6/2022,17,16,16
red chili kulai / kulai hybrid,"KOTA BHARU, KELANTAN",KILOGRAM,9/6/2022,16,15,15
red chili kulai / kulai hybrid,"MELAKA TENGAH, MELAKA",KILOGRAM,9/6/2022,15,15,13
red chili kulai / kulai hybrid,"SEREMBAN, NEGERI SEMBILAN",KILOGRAM,9/6/2022,18,17,16
red chili kulai / kulai hybrid,"KUANTAN, PAHANG",KILOGRAM,9/6/2022,17,17,16
red chili kulai / kulai hybrid,"SEBERANG PERAI TENGAH, PULAU PINANG",KILOGRAM,9/6/2022,18,17,16
red chili kulai / kulai hybrid,"KINTA, PERAK",KILOGRAM,9/6/2022,17,16,15
red chili kulai / kulai hybrid,"PERLIS, PERLIS",KILOGRAM,9/6/2022,20,18,18
red chili kulai / kulai hybrid,"GOMBAK, SELANGOR",KILOGRAM,9/6/2022,16,16,16
red chili kulai / kulai hybrid,"KLANG, SELANGOR",KILOGRAM,9/6/2022,15,14.5,14
red chili kulai / kulai hybrid,"PETALING, SELANGOR",KILOGRAM,9/6/2022,15,14.5,14
red chili kulai / kulai hybrid,"KUALA TERENGGANU, TERENGGANU",KILOGRAM,9/6/2022,15,15,14
red chili kulai / kulai hybrid,"KOTA KINABALU, SABAH",KILOGRAM,9/6/2022,18,17,17
red chili kulai / kulai hybrid,"KUCHING, SARAWAK",KILOGRAM,9/6/2022,26,24,22
red chili kulai / kulai hybrid,"SIBU, SARAWAK",KILOGRAM,9/6/2022,0,0,0
red chili kulai / kulai hybrid,"MIRI, SARAWAK",KILOGRAM,9/6/2022,0,0,0
red chili kulai / kulai hybrid,"KUALA LUMPUR, W.P. KUALA LUMPUR",KILOGRAM,9/6/2022,14,14,14
red chili kulai / kulai hybrid,"LABUAN, W.P. LABUAN",KILOGRAM,9/6/2022,0,0,0
garlic,"JOHOR BAHRU, JOHOR",KILOGRAM,9/6/2022,12,11,10
garlic,"KOTA SETAR, KEDAH",KILOGRAM,9/6/2022,9,8.5,8.5
garlic,"KOTA BHARU, KELANTAN",KILOGRAM,9/6/2022,6,5.5,5.5
garlic,"MELAKA TENGAH, MELAKA",KILOGRAM,9/6/2022,8.5,8.5,8.5
garlic,"SEREMBAN, NEGERI SEMBILAN",KILOGRAM,9/6/2022,9,8.5,8
garlic,"KUANTAN, PAHANG",KILOGRAM,9/6/2022,8,8,8
garlic,"SEBERANG PERAI TENGAH, PULAU PINANG",KILOGRAM,9/6/2022,9,8.5,8
garlic,"KINTA, PERAK",KILOGRAM,9/6/2022,8,8,8
garlic,"PERLIS, PERLIS",KILOGRAM,9/6/2022,8.5,8.5,8.5
garlic,"GOMBAK, SELANGOR",KILOGRAM,9/6/2022,10,9.25,8.5
garlic,"KLANG, SELANGOR",KILOGRAM,9/6/2022,9,8.75,8.5
garlic,"PETALING, SELANGOR",KILOGRAM,9/6/2022,8,8,8
garlic,"KUALA TERENGGANU, TERENGGANU",KILOGRAM,9/6/2022,10,9,9
garlic,"KOTA KINABALU, SABAH",KILOGRAM,9/6/2022,10,9,9
garlic,"KUCHING, SARAWAK",KILOGRAM,9/6/2022,9,8.5,8
garlic,"SIBU, SARAWAK",KILOGRAM,9/6/2022,7,7,7
garlic,"MIRI, SARAWAK",KILOGRAM,9/6/2022,7,7,7
garlic,"KUALA LUMPUR, W.P. KUALA LUMPUR",KILOGRAM,9/6/2022,10,10,10
garlic,"LABUAN, W.P. LABUAN",KILOGRAM,9/6/2022,10,9.5,9
coriander,"JOHOR BAHRU, JOHOR",KILOGRAM,9/6/2022,10,9,8
coriander,"KOTA SETAR, KEDAH",KILOGRAM,9/6/2022,12,11,11
coriander,"KOTA BHARU, KELANTAN",KILOGRAM,9/6/2022,9,8,8
coriander,"MELAKA TENGAH, MELAKA",KILOGRAM,9/6/2022,10,10,10
coriander,"SEREMBAN, NEGERI SEMBILAN",KILOGRAM,9/6/2022,7,6.5,6
coriander,"KUANTAN, PAHANG",KILOGRAM,9/6/2022,15,14,13
coriander,"SEBERANG PERAI TENGAH, PULAU PINANG",KILOGRAM,9/6/2022,12,10,8
coriander,"KINTA, PERAK",KILOGRAM,9/6/2022,8,8,8
coriander,"PERLIS, PERLIS",KILOGRAM,9/6/2022,15,15,15
coriander,"GOMBAK, SELANGOR",KILOGRAM,9/6/2022,6,6,6
coriander,"KLANG, SELANGOR",KILOGRAM,9/6/2022,9,8.5,8
coriander,"PETALING, SELANGOR",KILOGRAM,9/6/2022,8,8,8
coriander,"KUALA TERENGGANU, TERENGGANU",KILOGRAM,9/6/2022,10,9,9
coriander,"KOTA KINABALU, SABAH",KILOGRAM,9/6/2022,12,12,11
coriander,"KUCHING, SARAWAK",KILOGRAM,9/6/2022,36,35.5,35
coriander,"SIBU, SARAWAK",KILOGRAM,9/6/2022,25,25,25
coriander,"MIRI, SARAWAK",KILOGRAM,9/6/2022,13,13,13
coriander,"KUALA LUMPUR, W.P. KUALA LUMPUR",KILOGRAM,9/6/2022,10,8.5,7
coriander,"LABUAN, W.P. LABUAN",KILOGRAM,9/6/2022,15,14,13
okra ,"JOHOR BAHRU, JOHOR",KILOGRAM,9/6/2022,10,9.5,9
okra ,"KOTA SETAR, KEDAH",KILOGRAM,9/6/2022,9.5,9,9
okra ,"KOTA BHARU, KELANTAN",KILOGRAM,9/6/2022,7,6,6
okra ,"MELAKA TENGAH, MELAKA",KILOGRAM,9/6/2022,8,8,7.5
okra ,"SEREMBAN, NEGERI SEMBILAN",KILOGRAM,9/6/2022,9,8.5,8
okra ,"KUANTAN, PAHANG",KILOGRAM,9/6/2022,9,9,9
okra ,"SEBERANG PERAI TENGAH, PULAU PINANG",KILOGRAM,9/6/2022,12,10,9
okra ,"KINTA, PERAK",KILOGRAM,9/6/2022,10,9,9
okra ,"PERLIS, PERLIS",KILOGRAM,9/6/2022,8,7.5,7.5
okra ,"GOMBAK, SELANGOR",KILOGRAM,9/6/2022,8.4,7.7,7
okra ,"KLANG, SELANGOR",KILOGRAM,9/6/2022,7,6.5,6
okra ,"PETALING, SELANGOR",KILOGRAM,9/6/2022,9.5,9.25,9
okra ,"KUALA TERENGGANU, TERENGGANU",KILOGRAM,9/6/2022,14,12,12
okra ,"KOTA KINABALU, SABAH",KILOGRAM,9/6/2022,6,5,5
okra ,"KUCHING, SARAWAK",KILOGRAM,9/6/2022,14,13,12
okra ,"SIBU, SARAWAK",KILOGRAM,9/6/2022,6,6,6
okra ,"MIRI, SARAWAK",KILOGRAM,9/6/2022,9,9,9
okra ,"KUALA LUMPUR, W.P. KUALA LUMPUR",KILOGRAM,9/6/2022,12,11,10
okra ,"LABUAN, W.P. LABUAN",KILOGRAM,9/6/2022,8,7.5,7
green bean / string bean,"JOHOR BAHRU, JOHOR",KILOGRAM,9/6/2022,13,12.5,12
green bean / string bean,"KOTA SETAR, KEDAH",KILOGRAM,9/6/2022,14,13,13
green bean / string bean,"KOTA BHARU, KELANTAN",KILOGRAM,9/6/2022,15,14,14
green bean / string bean,"MELAKA TENGAH, MELAKA",KILOGRAM,9/6/2022,13,13,13
green bean / string bean,"SEREMBAN, NEGERI SEMBILAN",KILOGRAM,9/6/2022,15,14.5,14
green bean / string bean,"KUANTAN, PAHANG",KILOGRAM,9/6/2022,13,13,13
green bean / string bean,"SEBERANG PERAI TENGAH, PULAU PINANG",KILOGRAM,9/6/2022,16,13,10
green bean / string bean,"KINTA, PERAK",KILOGRAM,9/6/2022,14,13,12
green bean / string bean,"PERLIS, PERLIS",KILOGRAM,9/6/2022,15,15,15
green bean / string bean,"GOMBAK, SELANGOR",KILOGRAM,9/6/2022,7.6,7.3,7
green bean / string bean,"KLANG, SELANGOR",KILOGRAM,9/6/2022,11,10.5,10
green bean / string bean,"PETALING, SELANGOR",KILOGRAM,9/6/2022,11,11,11
green bean / string bean,"KUALA TERENGGANU, TERENGGANU",KILOGRAM,9/6/2022,14,14,13
green bean / string bean,"KOTA KINABALU, SABAH",KILOGRAM,9/6/2022,9.5,9,9
green bean / string bean,"KUCHING, SARAWAK",KILOGRAM,9/6/2022,14,13.5,13
green bean / string bean,"SIBU, SARAWAK",KILOGRAM,9/6/2022,13.5,13.5,13.5
green bean / string bean,"MIRI, SARAWAK",KILOGRAM,9/6/2022,8,8,8
green bean / string bean,"KUALA LUMPUR, W.P. KUALA LUMPUR",KILOGRAM,9/6/2022,15,12.5,10
green bean / string bean,"LABUAN, W.P. LABUAN",KILOGRAM,9/6/2022,8,7.5,7
long beans,"JOHOR BAHRU, JOHOR",KILOGRAM,9/6/2022,10,9.5,9
long beans,"KOTA SETAR, KEDAH",KILOGRAM,9/6/2022,9,8,8
long beans,"KOTA BHARU, KELANTAN",KILOGRAM,9/6/2022,7,6,6
long beans,"MELAKA TENGAH, MELAKA",KILOGRAM,9/6/2022,8,7.5,7.5
long beans,"SEREMBAN, NEGERI SEMBILAN",KILOGRAM,9/6/2022,6,6,6
long beans,"KUANTAN, PAHANG",KILOGRAM,9/6/2022,9,8,8
long beans,"SEBERANG PERAI TENGAH, PULAU PINANG",KILOGRAM,9/6/2022,11,10,8
long beans,"KINTA, PERAK",KILOGRAM,9/6/2022,10,10,10
long beans,"PERLIS, PERLIS",KILOGRAM,9/6/2022,8,7,7
long beans,"GOMBAK, SELANGOR",KILOGRAM,9/6/2022,6,5.5,5
long beans,"KLANG, SELANGOR",KILOGRAM,9/6/2022,7,6.75,6.5
long beans,"PETALING, SELANGOR",KILOGRAM,9/6/2022,8,7.5,7
long beans,"KUALA TERENGGANU, TERENGGANU",KILOGRAM,9/6/2022,8,8,7
long beans,"KOTA KINABALU, SABAH",KILOGRAM,9/6/2022,6,6,5
long beans,"KUCHING, SARAWAK",KILOGRAM,9/6/2022,8,7.5,7
long beans,"SIBU, SARAWAK",KILOGRAM,9/6/2022,7,7,7
long beans,"MIRI, SARAWAK",KILOGRAM,9/6/2022,8,8,8
long beans,"KUALA LUMPUR, W.P. KUALA LUMPUR",KILOGRAM,9/6/2022,8,8,8
long beans,"LABUAN, W.P. LABUAN",KILOGRAM,9/6/2022,7,6.5,6
luffa,"JOHOR BAHRU, JOHOR",KILOGRAM,9/6/2022,8,7.5,7
luffa,"KOTA SETAR, KEDAH",KILOGRAM,9/6/2022,6,5.5,5.5
luffa,"KOTA BHARU, KELANTAN",KILOGRAM,9/6/2022,3.5,3,3
luffa,"MELAKA TENGAH, MELAKA",KILOGRAM,9/6/2022,6,6,5
luffa,"SEREMBAN, NEGERI SEMBILAN",KILOGRAM,9/6/2022,7,6.5,6
luffa,"KUANTAN, PAHANG",KILOGRAM,9/6/2022,7,6,6
luffa,"SEBERANG PERAI TENGAH, PULAU PINANG",KILOGRAM,9/6/2022,4,4,4
luffa,"KINTA, PERAK",KILOGRAM,9/6/2022,7,6.5,6
luffa,"PERLIS, PERLIS",KILOGRAM,9/6/2022,5,5,5
luffa,"GOMBAK, SELANGOR",KILOGRAM,9/6/2022,6,5.5,5
luffa,"KLANG, SELANGOR",KILOGRAM,9/6/2022,6.5,6.25,6
luffa,"PETALING, SELANGOR",KILOGRAM,9/6/2022,7,7,7
luffa,"KUALA TERENGGANU, TERENGGANU",KILOGRAM,9/6/2022,5,5,4
luffa,"KOTA KINABALU, SABAH",KILOGRAM,9/6/2022,5,5,4.5
luffa,"KUCHING, SARAWAK",KILOGRAM,9/6/2022,8,8,8
luffa,"SIBU, SARAWAK",KILOGRAM,9/6/2022,7.1,7.1,7.1
luffa,"MIRI, SARAWAK",KILOGRAM,9/6/2022,5,5,5
luffa,"KUALA LUMPUR, W.P. KUALA LUMPUR",KILOGRAM,9/6/2022,8,8,8
luffa,"LABUAN, W.P. LABUAN",KILOGRAM,9/6/2022,6,6,6
China round cabbage,"JOHOR BAHRU, JOHOR",KILOGRAM,9/6/2022,4,3.75,3.5
China round cabbage,"KOTA SETAR, KEDAH",KILOGRAM,9/6/2022,4,4,4
China round cabbage,"KOTA BHARU, KELANTAN",KILOGRAM,9/6/2022,5,4.5,4.5
